pali,pos,grammar,derived from,neg,verb,meaning,category,stem,pattern,same pali,same meaning
acchar?sa?gh?ta,masc,masc,acchar?+sa?gh?ta,,,a finger-snap; a moment,ncped,anunet,a masc,1,1
accharik?,fem,fem,,,,snapping of the fingers,ncped,ki?ka?ik,? fem,1,1
acchariyamanussa,masc,masc,acchariya,,,a wonderful exceptional man,ncped,anupakkam,a masc,1,1
accheti,pr,pr,acchati,,,"is; sits; remains, stays; continues (doing something); sits idle, sits doing nothing; (often used as an auxiliary with part, or absolutive)",ncped,acch,eti pr,1,0
acchibaddha,adj,adj,acci+baddha,,,laid out in squares or laid out in strips,ncped,acchibaddh,a adj,1,1
acchodaka,adj,adj,accha,,,having clear water,ncped,acchod,aka adj,1,2
acchodi,adj,adj,accha,,,having clear water,ncped,acchod,i adj,1,2
acchupeti,pr,pr,,,,inserts; puts on or in,ncped,acchup,eti pr,1,1
acc?ma,adj,adj,,,,"flaming, glowing; brilliant",ncped,acc?m,a adj,1,2
acc?mant,adj,adj,,,,"flaming, glowing; brilliant",ncped,acc?m,ant adj,1,2
accuggamamma,ind,ind,ati+uggacchati,,,rising out (of); being raised above,ncped,-,,1,0
?ceraka,nt,nt,,,,teachings; profession,ncped,?cerak,a nt,1,1
ac?varaka,adj,adj,a+c?vara+ka,,,(one) who has no bhikkhu’s robes,ncped,ac?varak,a adj,1,0
?dapayati,pr,"pr, caus of ",?dapeti,,,makes take; makes accept,ncped,?dapay,ati pr,1,3
?dapeti,pr,"pr, caus of ",?dapayati,,,makes take; makes accept,ncped,?dap,eti pr,1,3
adasaka,adj,adj,,,,without a fringe,ncped,adasak,a adj,1,1
?d?saka,masc,masc,,,,a mirror,ncped,uttar?lump,a masc,1,1
?d?ta,masc,masc,,,,"one who takes, who receives",ncped,uttarap?sak,a masc,1,1
?d?tu?,inf,inf of ,,,,"to grasp, to take; to seize",ncped,-,,1,2
?d?yagaman?ya,adj,adj,?diyati,,,"(from ?d?ya gacchati, ‘he goes with, he takes ‘), to be gone with; to be taken; going with",ncped,?d?yagaman?y,a adj,1,0
addavalepana,adj,adj,,,,newly plastered,ncped,addavalepan,a adj,1,1
addh?bhavanta,prp,prp of,,,,master of; governing; controlling,ncped,addh?bhav,anta prp,1,1
addhabhaveti,pr,"pr, caus of ",,,,"makes govern, lets control",ncped,addhabhav,eti pr,1,1
a??haduka,nt,nt,a??ha,,,a certain way of shaping the hair on the stomach,ncped,a??haduk,a nt,1,1
addh?hina,adj,adj,addh?na,,,"being under-age, too young",ncped,addh?hin,a adj,1,1
a??hak?sika,adj,adj,"['a??ha', 'a??hak?siya']",,,made of a sort of luxurious cloth from K?si,ncped,a??hak?sik,a adj,1,2
a??hak?siya,adj,adj,"['a??ha', 'a??hak?sika']",,,made of a sort of luxurious cloth from K?si,ncped,a??hak?siy,a adj,1,2
a??hak?yika,adj,adj,a??ha,,,half one’s body,ncped,a??hak?yik,a adj,1,1
a??haku??aka,nt,nt,a??ha,,,a half-wall,ncped,a??haku??ak,a nt,1,1
a??hakusi,fem,fem,a??ha,,,a short strip of cloth (part of a bhikkhu’s robe),ncped,a??hakus,i fem,1,0
a??hama??ala,nt,nt,a??ha,,,a small panel (of a bhikkhu’s robe),ncped,a??hama??al,a nt,1,0
a??ham?sika,adj,adj,a??ha,,,fortnightly,ncped,a??ham?sik,a adj,1,1
addhan?ya,adj,adj,,,,fit for traveling,ncped,addhan?y,a adj,2,1
addhan?ya,adj,adj,,,,lasting a long period; enduring,ncped,addhan?y,a adj,2,1
a??hapalla?ka,nt,nt,a??ha,,,"a half crossed-legged posture, i.e. with one leg straight",ncped,a??hapalla?k,a nt,1,1
a??haratt?,fem,fem,a??ha,,,midnight,ncped,kum?rak?lik,? fem,1,2
a??haratti,fem,fem,a??ha,,,midnight,ncped,a??haratt,i fem,1,2
addhariya,masc,masc,,,,a sacrificing priest; name of a class of brahmans,ncped,apanudit,a masc,1,1
a??hate?asa,adj,adj,a??ha,,,twelve and a half,ncped,a??hate?as,a adj,1,1
a??ha??hama,adj,adj,a??ha,,,seven and a half,ncped,a??ha??ham,a adj,1,1
a??hav?da,masc,masc,a??ha,,,"talk of wealth, talk of being rich",ncped,anuss?h,a masc,1,1
addh?yu,nt,nt,addha(n),,,duration of life,ncped,addh?y,u nt,1,1
addhikara?av?pasamana,nt,nt,addhikara?a,,,the settling of a case or dispute,ncped,addhikara?av?pasaman,a nt,1,1
addiyati,pr,pr,,,,"is afflicted, distressed",ncped,addiy,ati pr,1,1
?desan?p??ih?riya,nt,nt,,,,the miracle or marvelous power of indicating (another’s thoughts or state of mind),ncped,?desan?p??ih?riy,a nt,1,0
?desanavidh?,fem,fem,,,,a form or variety of indicating; (another’s thoughts or state of mind),ncped,tassap?piyasak,? fem,1,0
